RESULT_DATE,PLAYER_NAME,PLAYER_TYPE,OPPONENT,PA,AB,H,R,RBI,HR,BB,HBP,SO,SB,DOUBLES,TRIPLES,SINGLES,TOTAL_BASES,H_PLUS_R_PLUS_RBI,HITTER_FANTASY_PP,SOURCE_FILE,IP,OUTS,K,ER,HITS_ALLOWED,HR_ALLOWED,PITCHES,WIN,QUALITY_START,PITCHER_FANTASY_PP
2026-07-10,SHEA LANGELIERS,HITTER,CWS,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,SHOHEI OHTANI,HITTER,AZ,4.0,4.0,1.0,1.0,1.0,1.0,0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,14.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,SPENCER STEER,HITTER,CHC,4.0,4.0,3.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,11.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,SPENCER TORKELSON,HITTER,PHI,4.0,4.0,1.0,1.0,2.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,16.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,STEVEN KWAN,HITTER,MIA,3.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TAYLOR WALLS,HITTER,SEA,4.0,3.0,0.0,0.0,1.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TAYLOR WARD,HITTER,KC,4.0,3.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TEOSCAR HERNÁNDEZ,HITTER,AZ,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TIM TAWA,HITTER,LAD,4.0,4.0,3.0,1.0,4.0,1.0,0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,8.0,31.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TJ FRIEDL,HITTER,CHC,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TJ RUMFIELD,HITTER,SF,4.0,2.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,10.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TOMMY EDMAN,HITTER,AZ,4.0,3.0,1.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TRAVIS BAZZANA,HITTER,MIA,4.0,3.0,0.0,0.0,1.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TREA TURNER,HITTER,DET,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TRENT GRISHAM,HITTER,WSH,5.0,4.0,1.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TREVOR LARNACH,HITTER,LAA,5.0,4.0,2.0,1.0,0.0,0.0,1,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,14.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TRISTAN GRAY,HITTER,LAA,2.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TRISTAN PETERS,HITTER,ATH,4.0,4.0,4.0,2.0,4.0,1.0,0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,38.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
2026-07-10,TROY JOHNSTON,HITTER,SF,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,MLB_BATTING_RESULTS.csv,,,,,,,,,,
