PLAYER_NAME,BAT_DATE,BAT_TM,BAT_OPP,BAT_G,BAT_PA,BAT_AB,BAT_R,BAT_H,BAT_2B,BAT_3B,BAT_HR,BAT_RBI,BAT_BB,BAT_IBB,BAT_SO,BAT_HBP,BAT_SH,BAT_SF,BAT_GDP,BAT_SB,BAT_CS,BAT_BA,BAT_OBP,BAT_SLG,BAT_OPS,BAT_MLBID,BAT_TB,BAT_H_R_RBI,BAT_HITTER_FANTASY_EST,PIT_DATE,PIT_TM,PIT_OPP,PIT_G,PIT_GS,PIT_W,PIT_L,PIT_SV,PIT_IP,PIT_H,PIT_R,PIT_ER,PIT_BB,PIT_SO,PIT_HR,PIT_HBP,PIT_ERA,PIT_BF,PIT_PIT,PIT_STR,PIT_WHIP,PIT_MLBID,PIT_K_PER_IP,SC_AVG_EXIT_VELO,SC_AVG_LAUNCH_ANGLE,SC_XBA,SC_XSLG,SC_HARD_HIT_RATE,SC_BARREL_RATE_EST,LAST_HIT_RESULT_DATE,LAST_HIT_OPPONENT,LAST_HIT_PA,LAST_HIT_AB,LAST_HIT_H,LAST_HIT_R,LAST_HIT_RBI,LAST_HIT_HR,LAST_HIT_BB,LAST_HIT_HBP,LAST_HIT_SO,LAST_HIT_SB,LAST_HIT_SINGLES,LAST_HIT_DOUBLES,LAST_HIT_TRIPLES,LAST_HIT_TOTAL_BASES,LAST_HIT_H_PLUS_R_PLUS_RBI,LAST_HIT_HITTER_FANTASY_PP,LAST_PIT_RESULT_DATE,LAST_PIT_OPPONENT,LAST_PIT_IP,LAST_PIT_OUTS,LAST_PIT_K,LAST_PIT_ER,LAST_PIT_BB,LAST_PIT_HITS_ALLOWED,LAST_PIT_HR_ALLOWED,LAST_PIT_PITCHES,LAST_PIT_WIN,LAST_PIT_QUALITY_START,LAST_PIT_PITCHER_FANTASY_PP
EDGARDO HENRIQUEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",LAD,AZ,1.0,0.0,0.0,0.0,0.0,1.2,1.0,2.0,0.0,1.0,2.0,0.0,0.0,,8.0,29.0,19.0,,683618.0,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,AZ,1.2,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0
EDOUARD JULIEN,"Jul 10, 2026",COL,SF,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,666397.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,82.03333333333333,16.375,0.2491666666666666,0.4934166666666666,0.0864197530864197,0.0123456790123456,2026-07-10,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,,,,,,,,,,,,
EDUARD BAZARDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",SEA,TB,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,3.0,13.0,9.0,,660825.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,TB,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
EDUARDO RODRIGUEZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",AZ,LAD,1.0,1.0,1.0,0.0,0.0,6.0,7.0,2.0,2.0,1.0,5.0,2.0,0.0,,25.0,87.0,57.0,,593958.0,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,LAD,6.0,18.0,5.0,2.0,1.0,7.0,2.0,0.0,1.0,1.0,37.0
EDUARDO VALENCIA,"Jul 10, 2026",DET,PHI,1.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,680664.0,0.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,89.81666666666666,9.666666666666666,0.417,1.23,0.12,0.04,2026-07-10,PHI,4.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,10.0,,,,,,,,,,,,,
EDWIN ARROYO,"Jul 10, 2026",CIN,CHC,1.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,695490.0,0.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,82.62758620689655,22.79310344827586,0.3780588235294118,0.43,0.0588235294117647,0.0,2026-07-10,CHC,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,,,,,,,,,,,,,
ELIAS DÍAZ,"Jul 10, 2026",TEX,HOU,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,553869.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,85.18536585365854,19.121951219512194,0.3883999999999999,0.6597500000000001,0.1318681318681318,0.0109890109890109,2026-07-10,HOU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ELIEZER ALFONZO,"Jul 10, 2026",LAD,AZ,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,672613.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,85.3625,30.25,0.1013333333333333,0.1633333333333333,0.0625,0.0,2026-07-10,AZ,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
ELLY DE LA CRUZ,"Jul 10, 2026",CIN,CHC,1.0,5.0,5.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,682829.0,7.0,5.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,86.5638888888889,11.86111111111111,0.3760454545454545,0.6865909090909091,0.072289156626506,0.0,2026-07-10,CHC,5.0,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,24.0,,,,,,,,,,,,,
ELVIS ALVARADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",ATH,CWS,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,6.0,20.0,15.0,,665660.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,CWS,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
EMILIO PAGÁN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",CIN,CHC,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,3.0,15.0,9.0,,641941.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,CHC,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
ERIK MILLER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",SF,COL,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,22.0,12.0,,669062.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,COL,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
ERIK SABROWSKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",CLE,MIA,1.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,3.0,14.0,6.0,,681870.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,MIA,0.1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-2.0
ERNIE CLEMENT,"Jul 10, 2026",TOR,SD,1.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,676391.0,0.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,78.20754716981132,16.20754716981132,0.3019677419354838,0.3611612903225806,0.036036036036036,0.0,2026-07-10,SD,5.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,8.0,,,,,,,,,,,,,
ESMERLYN VALDEZ,"Jul 10, 2026",PIT,MIL,1.0,4.0,4.0,2.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,699013.0,8.0,11.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,81.87551020408164,14.224489795918368,0.32925,0.64095,0.0523255813953488,0.0116279069767441,2026-07-10,MIL,4.0,4.0,3.0,2.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,11.0,39.0,,,,,,,,,,,,,
ESTEURY RUIZ,"Jul 10, 2026",MIA,CLE,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,665923.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,77.595,26.3,0.4544999999999999,0.7905000000000001,0.0238095238095238,0.0,2026-07-10,CLE,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,
EUGENIO SUÁREZ,"Jul 10, 2026",CIN,CHC,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,553993.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,84.89166666666667,16.833333333333332,0.3306428571428572,0.5154285714285715,0.0555555555555555,0.0,2026-07-10,CHC,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,
EVAN CARTER,"Jul 10, 2026",TEX,HOU,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,,,,,694497.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,71.55333333333333,5.6,0.3359999999999999,0.5471999999999999,0.037037037037037,0.0,2026-07-10,HOU,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
EVAN PHILLIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",LAD,AZ,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,,5.0,22.0,13.0,,623465.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,AZ,1.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
EZEQUIEL DURAN,"Jul 10, 2026",TEX,HOU,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,677649.0,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,82.55217391304348,16.73913043478261,0.3457777777777778,0.5612962962962963,0.0869565217391304,0.0,2026-07-10,HOU,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,10.0,,,,,,,,,,,,,
EZEQUIEL TOVAR,"Jul 10, 2026",COL,SF,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,678662.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,76.25471698113208,26.71698113207547,0.22425,0.3906785714285714,0.063063063063063,0.018018018018018,2026-07-10,SF,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,7.0,,,,,,,,,,,,,
FERNANDO CRUZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jul 10, 2026",NYY,WSH,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,10.0,6.0,,518585.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-10,WSH,0.2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
FERNANDO TATIS JR.,"Jul 10, 2026",SD,TOR,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,665487.0,0.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,82.9531914893617,10.5531914893617,0.3066666666666666,0.3745333333333333,0.0909090909090909,0.0,2026-07-10,TOR,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,,,,,,,,,,,,,
